keyword,salary_group,job_title,text,tokens,text_cut
数据分析师,非高薪岗位,数据分析师,数据分析师 岗位职责： 1、深入理解业务，与产品研发配合，进行数据治理，高效为业务提供数据支持； 2、通过数据分析，驱动产品及运营优化； 3、能主动发现和识别业务问题，结合业务目标构建分析模型，为产品数据化运营提供解决方案。 任职要求: 1、统计学、数学、计算机等理工科专业； 2、熟练使用Python、SQL、Shell、Excel等数据处理分析工具； 3、熟悉 Python 科学计算类工具库，NumPy、Pandas； 3、对数据敏感，逻辑思维缜密，总结及表达能力好； 4、学习能力好，抗压能力强，能快速学习接受新事物。 职位福利：五险一金、周末双休、大牛带队、定期体检、节日福利,"['数据', '分析师', '理解', '业务', '产品', '研发', '数据', '治理', '高效', '业务', '提供数据', '数据分析', '驱动', '产品', '运营', '优化', '主动', '发现', '识别', '业务', '业务', '目标', '构建', '分析模型', '产品', '数据', '运营', '解决方案', '统计学', '数学', '计算机', '理工科', 'python', 'sql', 'shell', 'excel', '数据处理', '分析', 'python', '科学计算', 'numpy', 'pandas', '数据', '敏感', '逻辑思维', '缜密', '表达能力', '抗压', '快速', '接受', '事物', '大牛', '带队', '定期', '节日']",数据 分析师 理解 业务 产品 研发 数据 治理 高效 业务 提供数据 数据分析 驱动 产品 运营 优化 主动 发现 识别 业务 业务 目标 构建 分析模型 产品 数据 运营 解决方案 统计学 数学 计算机 理工科 python sql shell excel 数据处理 分析 python 科学计算 numpy pandas 数据 敏感 逻辑思维 缜密 表达能力 抗压 快速 接受 事物 大牛 带队 定期 节日
数据分析师,高薪岗位,政务高级数据分析师,政务高级数据分析师 岗位职责 1. 参与宏观经济、政策评估等模型的开发与迭代，完成政务数据的深度挖掘与专题分析。 2. 协助数据分析流程的落地与优化，独立完成数据清洗、特征工程及可视化报告输出。 3. 协同业务部门，将政策需求转化为数据分析目标，产出决策支持建议与数据产品。 4. 跟进前沿分析方法的应用，参与数据产品规划，并协助团队知识沉淀与能力提升。 5. 负责团队建设、人才培养，建立高效、规范的政务数据分析工作流程与质量标准。 任职要求 1. 经济学、统计学、计算机等相关专业本科及以上学历。 2. 5年以上数据分析 与算法 经验， 其中至少2年团队管理经验 ;具备政务、经济或金融领域项目经验者优先。 3. 精通Python/SQL，熟练使用主流可视化工具，具备扎实的建模与数据分析能力。 4. 逻辑清晰，具备优秀的数据解读、跨部门沟通能力与自主学习意识。 5. 责任心强，具备良好的抗压能力、团队协作精神及保密意识。 我们提供： 参与塑造智慧城市核心数据能力的宝贵机会。 与政府高层决策者直接对话、发挥影响力的平台。 具有竞争力的薪酬福利和职业发展通道。 稳定、规范且富有社会价值的工作环境。,"['政务', '高级', '数据', '分析师', '宏观经济', '政策', '评估', '模型', '开发', '迭代', '政务', '数据', '深度', '挖掘', '专题', '分析', '数据分析', '流程', '落地', '优化', '独立', '数据', '清洗', '特征', '工程', '可视化', '报告', '输出', '业务部门', '政策', '需求', '转化', '数据分析', '目标', '产出', '决策', '建议', '数据', '产品', '前沿', '分析方法', '数据', '产品', '规划', '知识', '沉淀', '提升', '建设', '人才培养', '建立', '高效', '规范', '政务', '数据分析', '流程', '质量标准', '经济学', '统计学', '计算机', '数据分析', '算法', '至少', '管理', '政务', '经济', '金融', '领域', '项目', '精通', 'python', 'sql', '主流', '可视化', '扎实', '建模', '数据分析', '逻辑', '清晰', '数据', '解读', '跨部门', '自主', '意识', '责任心', '抗压', '协作', '精神', '保密', '意识', '塑造', '智慧', '城市核心', '数据', '宝贵机会', '政府', '高层', '决策者', '直接对话', '发挥', '影响力', '平台', '竞争力', '薪酬', '职业', '发展', '通道', '稳定', '规范', '富有', '社会', '价值', '环境']",政务 高级 数据 分析师 宏观经济 政策 评估 模型 开发 迭代 政务 数据 深度 挖掘 专题 分析 数据分析 流程 落地 优化 独立 数据 清洗 特征 工程 可视化 报告 输出 业务部门 政策 需求 转化 数据分析 目标 产出 决策 建议 数据 产品 前沿 分析方法 数据 产品 规划 知识 沉淀 提升 建设 人才培养 建立 高效 规范 政务 数据分析 流程 质量标准 经济学 统计学 计算机 数据分析 算法 至少 管理 政务 经济 金融 领域 项目 精通 python sql 主流 可视化 扎实 建模 数据分析 逻辑 清晰 数据 解读 跨部门 自主 意识 责任心 抗压 协作 精神 保密 意识 塑造 智慧 城市核心 数据 宝贵机会 政府 高层 决策者 直接对话 发挥 影响力 平台 竞争力 薪酬 职业 发展 通道 稳定 规范 富有 社会 价值 环境
数据分析师,非高薪岗位,数据分析师（应届生）,数据分析师（应届生） 依据业务需求及目标，用专业的数据分析能力帮助客户解决业务问题、挖掘数据价值，助力客户数据 价值释放，包括数据处理、分析建模、数据挖掘、数据分析报告编写等相关工作。 我们需要您： 1.了解 GPT，熟练使用者优先录用; 2.了解数据分析建模整个流程，掌握基础统计分析算法，熟悉主流的分类、聚类、时序数据预测等数 据挖掘算法及常见的 SQL 语句； 3.能将业务需求转为数据需求，熟练使用 Python 构建算法模型，了解 R、SAS、SPSS 等分析工具构建 挖掘分析场景； 4.较好的沟通表达、学习和理解能力，能够快速理解团队小伙伴的想法、客户的业务痛点。 假若： 您是统招硕士学历，数学与应用数学、计算机、自动化、模式识别、智能系统、统计学、数据挖掘等 专业/研究方向，愿意“用数据分析思维及技术帮助客户创造更大价值”，欢迎加入！,"['数据', '分析师', '应届生', '业务', '需求', '目标', '数据分析', '客户', '解决', '业务', '挖掘', '数据', '价值', '助力', '客户', '数据', '价值', '释放', '数据处理', '分析', '建模', '数据挖掘', '数据分析', '报告', '编写', 'gpt', '数据分析', '建模', '流程', '基础', '统计分析', '算法', '主流', '分类', '聚类', '时序', '数据', '预测', '等数', '挖掘', '算法', '常见', 'sql', '语句', '业务', '需求', '转为', '数据', '需求', 'python', '构建', '算法', '模型', 'r', 'sas', 'spss', '分析', '构建', '挖掘', '分析', '场景', '理解能力', '快速', '理解', '小伙伴', '想法', '客户', '业务', '痛点', '统招', '数学', '数学', '计算机', '自动化', '模式识别', '智能', '系统', '统计学', '数据挖掘', '研究', '数据分析', '思维', '技术', '客户', '创造', '更大', '价值']",数据 分析师 应届生 业务 需求 目标 数据分析 客户 解决 业务 挖掘 数据 价值 助力 客户 数据 价值 释放 数据处理 分析 建模 数据挖掘 数据分析 报告 编写 gpt 数据分析 建模 流程 基础 统计分析 算法 主流 分类 聚类 时序 数据 预测 等数 挖掘 算法 常见 sql 语句 业务 需求 转为 数据 需求 python 构建 算法 模型 r sas spss 分析 构建 挖掘 分析 场景 理解能力 快速 理解 小伙伴 想法 客户 业务 痛点 统招 数学 数学 计算机 自动化 模式识别 智能 系统 统计学 数据挖掘 研究 数据分析 思维 技术 客户 创造 更大 价值
数据分析师,非高薪岗位,数据分析师,数据分析师 1、岗位职责： 根据客户业务，进行需求搜集、调研，提供需求总结、调研报告，持续迭代； 定期进行专题分析、综合分析，撰写研究报告。 2、岗位要求： 国际关系相关专业优先； 硕士及以上学历； 热爱JS行业，BD背景优先； 优秀的数据收集分析和需求分析能力，长期关注热点新闻等； 较好的英文阅读能力和报告撰写能力； 较强的行业洞察能力和分析能力，具有较强的责任意识； 较强的沟通和协作能力，较强的表达和理解能力；； 欢迎优秀应届毕业生！,"['数据', '分析师', '客户', '业务', '需求', '搜集', '调研', '需求', '调研', '报告', '持续', '迭代', '定期', '专题', '分析', '综合', '分析', '撰写', '研究', '报告', '国际', '关系', '热爱', 'js', '行业', 'bd', '背景', '数据', '收集', '分析', '需求', '分析', '长期', '关注', '热点新闻', '英文', '阅读', '报告', '撰写', '行业', '洞察', '分析', '责任意识', '协作', '理解能力', '应届', '毕业生']",数据 分析师 客户 业务 需求 搜集 调研 需求 调研 报告 持续 迭代 定期 专题 分析 综合 分析 撰写 研究 报告 国际 关系 热爱 js 行业 bd 背景 数据 收集 分析 需求 分析 长期 关注 热点新闻 英文 阅读 报告 撰写 行业 洞察 分析 责任意识 协作 理解能力 应届 毕业生
数据分析师,高薪岗位,算法工程师/高级数据分析师（政务方向）,算法工程师/高级数据分析师（政务方向） 岗位职责描述 1. 牵头宏观经济、微观经济预测归因等模型的开发与迭代，完成政务数据的深度挖掘与专题分析。 2. 协助数据分析流程的落地与优化，独立完成数据清洗、特征工程及可视化报告输出。 3. 协同业务部门，将政策需求转化为数据分析目标，产出决策支持建议与数据产品。 4. 跟进前沿分析方法的应用，参与数据产品规划，并协助团队知识沉淀与能力提升。 5. 负责团队建设、人才培养，建立高效、规范的政务数据分析工作流程与质量标准。 任职条件描述 1. 经济学、统计学、计算机等相关专业本科及以上学历。 2. 5年以上数据分析与算法经验，其中至少2年团队管理经验;具备政务、经济或金融领域项目经验者优先。 3. 精通Python/SQL，熟练使用主流可视化工具，具备扎实的建模与数据分析能力。 4. 逻辑清晰，具备优秀的数据解读、跨部门沟通能力与自主学习意识。 5. 责任心强，具备良好的抗压能力、团队协作精神及保密意识。,"['算法', '工程师', '高级', '数据', '分析师', '政务', '牵头', '宏观经济', '微观经济', '预测', '归因', '模型', '开发', '迭代', '政务', '数据', '深度', '挖掘', '专题', '分析', '数据分析', '流程', '落地', '优化', '独立', '数据', '清洗', '特征', '工程', '可视化', '报告', '输出', '业务部门', '政策', '需求', '转化', '数据分析', '目标', '产出', '决策', '建议', '数据', '产品', '前沿', '分析方法', '数据', '产品', '规划', '知识', '沉淀', '提升', '建设', '人才培养', '建立', '高效', '规范', '政务', '数据分析', '流程', '质量标准', '经济学', '统计学', '计算机', '数据分析', '算法', '至少', '管理', '政务', '经济', '金融', '领域', '项目', '精通', 'python', 'sql', '主流', '可视化', '扎实', '建模', '数据分析', '逻辑', '清晰', '数据', '解读', '跨部门', '自主', '意识', '责任心', '抗压', '协作', '精神', '保密', '意识']",算法 工程师 高级 数据 分析师 政务 牵头 宏观经济 微观经济 预测 归因 模型 开发 迭代 政务 数据 深度 挖掘 专题 分析 数据分析 流程 落地 优化 独立 数据 清洗 特征 工程 可视化 报告 输出 业务部门 政策 需求 转化 数据分析 目标 产出 决策 建议 数据 产品 前沿 分析方法 数据 产品 规划 知识 沉淀 提升 建设 人才培养 建立 高效 规范 政务 数据分析 流程 质量标准 经济学 统计学 计算机 数据分析 算法 至少 管理 政务 经济 金融 领域 项目 精通 python sql 主流 可视化 扎实 建模 数据分析 逻辑 清晰 数据 解读 跨部门 自主 意识 责任心 抗压 协作 精神 保密 意识
数据分析师,非高薪岗位,银行开发工程师 / 数据分析师（金融方向）,银行开发工程师 / 数据分析师（金融方向） 岗位职责 1. 负责银行内部业务报表的需求沟通、设计、开发与测试工作。 2. 使用SQL语言进行复杂数据查询、提取、清洗和加工，满足各类数据分析与报表需求。 3. 运用Java或Python等编程语言，开发和维护自动化报表生成工具与数据流程。 4. 与业务部门（如风控、财务、营销等）紧密合作，将业务需求转化为技术解决方案。 5. 确保报表数据的准确性、及时性和安全性，遵守银行数据治理规范。 6. 优化现有的报表系统和数据查询效率，提升数据处理性能。 任职要求 · 必备条件： · 本科及以上学历，计算机科学、信息技术、统计学、金融工程或相关专业。 · 熟练掌握SQL语言，具备优秀的数据库查询、优化能力，有使用Oracle、DB2、MySQL等一种或多种数据库的经验。 · 至少掌握Java或Python其中一门编程语言，并有实际项目开发经验。 · 具备良好的逻辑思维能力、数据分析能力和问题解决能力。 · 工作细致认真，有强烈的责任心和良好的团队协作精神。 · 优先考虑： · 有银行、保险、证券等金融机构相关工作经验者优先。 · 有报表开发、商业智能（BI）项目经验者优先（熟悉FineReport、Tableau、Power BI等报表工具者更佳）。 · 熟悉Linux操作系统常用命令，了解Shell脚本者优先。 · 了解数据仓库（如Hadoop、Hive）相关技术者优先。 我们期待您的加入！,"['银行', '开发', '工程师', '数据', '分析师', '金融', '银行', '内部', '业务', '报表', '需求', '设计', '开发', '测试', 'sql', '语言', '数据', '查询', '提取', '清洗', '加工', '各类', '数据分析', '报表', '需求', 'java', 'python', '编程语言', '开发', '维护', '自动化', '报表', '生成', '数据', '流程', '业务部门', '如风控', '财务', '营销', '紧密', '合作', '业务', '需求', '转化', '技术', '解决方案', '确保', '报表', '数据', '准确性', '及时性', '安全性', '遵守', '银行', '数据', '治理', '规范', '优化', '现有', '报表', '系统', '数据', '查询', '效率', '提升', '数据处理', '性能', '必备条件', '计算机科学', '信息技术', '统计学', '金融', '工程', 'sql', '语言', '数据库', '查询', '优化', 'oracle', 'db2', 'mysql', '一种', '多种', '数据库', '至少', 'java', 'python', '一门', '编程语言', '项目', '开发', '逻辑思维', '数据分析', '解决', '细致', '责任心', '协作', '精神', '银行', '证券', '金融机构', '报表', '开发', '商业智能', 'bi', '项目', 'finereport', 'tableau', 'powerbi', '报表', '更佳', 'linux', '操作系统', '常用命令', 'shell', '脚本', '数据仓库', 'hadoop', 'hive', '技术', '期待']",银行 开发 工程师 数据 分析师 金融 银行 内部 业务 报表 需求 设计 开发 测试 sql 语言 数据 查询 提取 清洗 加工 各类 数据分析 报表 需求 java python 编程语言 开发 维护 自动化 报表 生成 数据 流程 业务部门 如风控 财务 营销 紧密 合作 业务 需求 转化 技术 解决方案 确保 报表 数据 准确性 及时性 安全性 遵守 银行 数据 治理 规范 优化 现有 报表 系统 数据 查询 效率 提升 数据处理 性能 必备条件 计算机科学 信息技术 统计学 金融 工程 sql 语言 数据库 查询 优化 oracle db2 mysql 一种 多种 数据库 至少 java python 一门 编程语言 项目 开发 逻辑思维 数据分析 解决 细致 责任心 协作 精神 银行 证券 金融机构 报表 开发 商业智能 bi 项目 finereport tableau powerbi 报表 更佳 linux 操作系统 常用命令 shell 脚本 数据仓库 hadoop hive 技术 期待
数据分析师,非高薪岗位,大模型ai数据分析师,"大模型ai数据分析师 工作职责： 1. 配合完成LLM相关的应用开发； 2. 配合完成数据分析、预测及相关方向的研究、开发； 3. 保持技术热情，时刻关注前沿技术和动向。 岗位要求： 1. 0-2年工作经验，接受应届生，理工科专业本科及以上学历； 2. 熟悉一门开发语言并能在工作中熟练使用（包括但不限于python, golang, typescript, c++） 3. 拥有良好的代码规范意识和基本的软件工程思想； 4. 了解数据库在生产环境的基本使用（包括但不限于MySQL, PostgreSQL, MongoDB, Redis, Elasticsearch）； 5. 了解LLM、prompt engineering开发或对之有浓厚的兴趣； 6. 了解docker，git等工具的基本使用； 7. 了解linux的基本命令； 8. 良好的自驱力和技术素养。","['模型', 'ai', '数据', '分析师', '职责', 'llm', '开发', '数据分析', '预测', '研究', '开发', '技术', '热情', '时刻', '关注', '前沿技术', '动向', '接受', '应届生', '理工科', '一门', '开发', '语言', '在工作中', '限于', 'python', 'golang', 'typescript', 'c++', '拥有', '代码', '规范', '意识', '软件工程', '思想', '数据库', '生产', '环境', '限于', 'mysql', 'postgresql', 'mongodb', 'redis', 'elasticsearch', 'llm', 'prompt', 'engineering', '开发', '浓厚', '兴趣', 'docker', 'git', 'linux', '命令', '自驱力', '技术', '素养']",模型 ai 数据 分析师 职责 llm 开发 数据分析 预测 研究 开发 技术 热情 时刻 关注 前沿技术 动向 接受 应届生 理工科 一门 开发 语言 在工作中 限于 python golang typescript c++ 拥有 代码 规范 意识 软件工程 思想 数据库 生产 环境 限于 mysql postgresql mongodb redis elasticsearch llm prompt engineering 开发 浓厚 兴趣 docker git linux 命令 自驱力 技术 素养
数据分析师,非高薪岗位,数据分析师（周末双休）,数据分析师（周末双休） 岗位描述： 1、与政府统计、工信、科技、发改等部门进行沟通，对接客户经济运行监测分析需求，搭建经济运行分析架构；要求能够敏锐识别需求，能够甄别客户真需求及伪需求，能够精准把握客户痛点难点并迅速转化为分析框架； 2、负责地区经济数据、企业数据处理，搭建业务数据指标体系，对产业数据运行进行挖掘分析；能够快速响应客户需求，能够针对客户的问题快速提供精准的数据指标、报表等服务； 3、撰写地区经济运行、工业、商业及服务业运行分析报告，为地区经济运行管理决策提供支撑；能够围绕客户的KPI、痛点需求，基于坚实的数据分析提供高质量的报告，能够给客户带来强的获得感； 4、牵头组织课题研究，协调团队成员推进项目，指导小组成员开展咨询服务；具备很强的团队协作意识，具备快速学习能力。 任职条件描述 1、本科及以上学历，经济、统计、数学等相关专业；相关竞赛获奖优先录取； 2、有较好的文字功底，发表过文章的优先； 3、逻辑清晰，沟通表达能力强； 4、有过产业经济咨询研究项目经验优先； 5、数理能力强，会用大模型、Python、SPSS等统计分析工具优先。 1、与政府统计、工信、科技、发改等部门进行沟通，对接客户经济运行监测分析需求，搭建经济运行分析架构；要求能够敏锐识别需求，能够甄别客户真需求及伪需求，能够精准把握客户痛点难点并迅速转化为分析框架； 2、负责地区经济数据、企业数据处理，搭建业务数据指标体系，对产业数据运行进行挖掘分析；能够快速响应客户需求，能够针对客户的问题快速提供精准的数据指标、报表等服务； 3、撰写地区经济运行、工业、商业及服务业运行分析报告，为地区经济运行管理决策提供支撑；能够围绕客户的KPI、痛点需求，基于坚实的数据分析提供高质量的报告，能够给客户带来强的获得感； 4、牵头组织课题研究，协调团队成员推进项目，指导小组成员开展咨询服务；具备很强的团队协作意识，具备快速学习能力。 任职条件描述 1、本科及以上学历，经济、统计、数学等相关专业；相关竞赛获奖优先录取； 2、有较好的文字功底，发表过文章的优先； 3、逻辑清晰，沟通表达能力强； 4、有过产业经济咨询研究项目经验优先； 5、数理能力强，会用大模型、Python、SPSS等统计分析工具优先。,"['数据', '分析师', '政府', '统计', '工信', '科技', '发改', '对接', '客户', '经济运行', '监测', '分析', '需求', '搭建', '经济运行', '分析', '架构', '敏锐', '识别', '需求', '甄别', '客户', '需求', '需求', '精准', '把握', '客户', '痛点', '难点', '转化', '分析', '框架', '地区', '经济', '数据', '企业', '数据处理', '搭建', '业务', '数据', '指标体系', '产业', '数据', '运行', '挖掘', '分析', '快速', '响应', '客户', '需求', '客户', '快速', '精准', '数据', '指标', '报表', '服务', '撰写', '地区', '经济运行', '工业', '商业', '服务业', '运行', '分析报告', '地区', '经济运行', '管理决策', '支撑', '围绕', '客户', 'kpi', '痛点', '需求', '坚实', '数据分析', '高质量', '报告', '客户', '带来', '牵头', '组织', '课题', '研究', '协调', '成员', '项目', '指导', '小组', '成员', '咨询服务', '很强', '协作', '意识', '快速', '经济', '统计', '数学', '竞赛', '获奖', '录取', '文字', '功底', '发表', '文章', '逻辑', '清晰', '表达能力', '有过', '产业', '经济', '咨询', '研究', '项目', '数理', '会用', '模型', 'python', 'spss', '统计分析', '政府', '统计', '工信', '科技', '发改', '对接', '客户', '经济运行', '监测', '分析', '需求', '搭建', '经济运行', '分析', '架构', '敏锐', '识别', '需求', '甄别', '客户', '需求', '需求', '精准', '把握', '客户', '痛点', '难点', '转化', '分析', '框架', '地区', '经济', '数据', '企业', '数据处理', '搭建', '业务', '数据', '指标体系', '产业', '数据', '运行', '挖掘', '分析', '快速', '响应', '客户', '需求', '客户', '快速', '精准', '数据', '指标', '报表', '服务', '撰写', '地区', '经济运行', '工业', '商业', '服务业', '运行', '分析报告', '地区', '经济运行', '管理决策', '支撑', '围绕', '客户', 'kpi', '痛点', '需求', '坚实', '数据分析', '高质量', '报告', '客户', '带来', '牵头', '组织', '课题', '研究', '协调', '成员', '项目', '指导', '小组', '成员', '咨询服务', '很强', '协作', '意识', '快速', '经济', '统计', '数学', '竞赛', '获奖', '录取', '文字', '功底', '发表', '文章', '逻辑', '清晰', '表达能力', '有过', '产业', '经济', '咨询', '研究', '项目', '数理', '会用', '模型', 'python', 'spss', '统计分析']",数据 分析师 政府 统计 工信 科技 发改 对接 客户 经济运行 监测 分析 需求 搭建 经济运行 分析 架构 敏锐 识别 需求 甄别 客户 需求 需求 精准 把握 客户 痛点 难点 转化 分析 框架 地区 经济 数据 企业 数据处理 搭建 业务 数据 指标体系 产业 数据 运行 挖掘 分析 快速 响应 客户 需求 客户 快速 精准 数据 指标 报表 服务 撰写 地区 经济运行 工业 商业 服务业 运行 分析报告 地区 经济运行 管理决策 支撑 围绕 客户 kpi 痛点 需求 坚实 数据分析 高质量 报告 客户 带来 牵头 组织 课题 研究 协调 成员 项目 指导 小组 成员 咨询服务 很强 协作 意识 快速 经济 统计 数学 竞赛 获奖 录取 文字 功底 发表 文章 逻辑 清晰 表达能力 有过 产业 经济 咨询 研究 项目 数理 会用 模型 python spss 统计分析 政府 统计 工信 科技 发改 对接 客户 经济运行 监测 分析 需求 搭建 经济运行 分析 架构 敏锐 识别 需求 甄别 客户 需求 需求 精准 把握 客户 痛点 难点 转化 分析 框架 地区 经济 数据 企业 数据处理 搭建 业务 数据 指标体系 产业 数据 运行 挖掘 分析 快速 响应 客户 需求 客户 快速 精准 数据 指标 报表 服务 撰写 地区 经济运行 工业 商业 服务业 运行 分析报告 地区 经济运行 管理决策 支撑 围绕 客户 kpi 痛点 需求 坚实 数据分析 高质量 报告 客户 带来 牵头 组织 课题 研究 协调 成员 项目 指导 小组 成员 咨询服务 很强 协作 意识 快速 经济 统计 数学 竞赛 获奖 录取 文字 功底 发表 文章 逻辑 清晰 表达能力 有过 产业 经济 咨询 研究 项目 数理 会用 模型 python spss 统计分析
数据分析师,高薪岗位,数据建模分析师,数据建模分析师 招聘岗位： 1、负责经济和社会统计调查数据建模，如产业园区经济指标预测、海洋经济判断建模、文化产业规模推算等； 2、负责经济和社会研究课题数据建模，如人口大数据建模、手机信令大数据建模、地理信息大数据建模等； 3、其他统计数据建模工作。 岗位要求： 1、普通高等院校硕士研究生学历并获得相应学位，统计学、经济学、社会学和数学专业优先； 2、掌握统计数据建模方法，熟练应用Ｒ、python等统计建模分析软件者优先； 3、具有良好的职业道德，诚实守信、踏实稳重、工作细心、责任心强，有团队协作精神。 职位福利：五险一金、绩效奖金、带薪年假、弹性工作、补充医疗保险、定期体检、员工旅游、高温补贴,"['数据建模', '分析师', '招聘', '经济', '社会', '统计调查', '数据建模', '产业园', '经济指标', '预测', '海洋', '经济', '判断', '建模', '文化产业', '规模', '推算', '经济', '社会', '研究课题', '数据建模', '人口', '数据建模', '手机', '信令', '数据建模', '地理信息', '数据建模', '统计', '数据建模', '高等院校', '研究生', '学位', '统计学', '经济学', '社会学', '数学', '统计', '数据建模', '方法', 'r', 'python', '统计', '建模', '分析', '软件', '职业道德', '诚实', '守信', '踏实', '稳重', '细心', '责任心', '协作', '精神', '绩效奖金', '弹性', '补充', '医疗保险', '定期', '员工', '高温']",数据建模 分析师 招聘 经济 社会 统计调查 数据建模 产业园 经济指标 预测 海洋 经济 判断 建模 文化产业 规模 推算 经济 社会 研究课题 数据建模 人口 数据建模 手机 信令 数据建模 地理信息 数据建模 统计 数据建模 高等院校 研究生 学位 统计学 经济学 社会学 数学 统计 数据建模 方法 r python 统计 建模 分析 软件 职业道德 诚实 守信 踏实 稳重 细心 责任心 协作 精神 绩效奖金 弹性 补充 医疗保险 定期 员工 高温
